mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2148515224456787,0.011527270772170901,0.009586620330810546,0.0005013054471100143,0.85,5.0,0.5,150,5,4,0.1,0.1,0.75,"{'subsample': 0.85, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.1628709316253662,0.014316802088366902,0.012730979919433593,0.001752416289780845,0.9,0.5,0.0,100,8,4,0.1,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.16076836585998536,0.0058270941344244894,0.009557390213012695,0.0003531246413446097,0.9,5.0,0.1,100,5,5,0.15,0.1,0.85,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.85}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.15201807022094727,0.00766578740397196,0.009820508956909179,0.0005765940746270972,0.9,5.0,0.1,80,3,5,0.15,0.0,0.85,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 80, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 0, 'colsample_bytree': 0.85}",1.0,0.6410256410256411,0.6410256410256411,0.5757575757575758,0.6190476190476191,0.6953712953712954,0.15416763179323217,2,1.0,1.0,0.9561602418745275,1.0,0.6410256410256411,0.9194371765800338,0.14023742168663006
0.17034692764282228,0.0164048130537991,0.011171197891235352,0.0016504077500596325,0.75,1.0,0.0,100,5,4,0.1,0.5,0.85,"{'subsample': 0.75, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.85}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.11749095916748047,0.0051865529615080595,0.0098907470703125,0.0006495087552766553,0.75,3.0,0.0,80,8,4,0.15,0.5,0.75,"{'subsample': 0.75, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 80, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.5, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.16470985412597655,0.005722365955302715,0.010240459442138672,0.0005488051537097944,0.9,1.0,0.5,100,3,5,0.1,0.0,0.75,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.5757575757575758,0.6190476190476191,0.6235764235764236,0.025379432010793592,39,1.0,1.0,0.9033333333333333,1.0,0.6410256410256411,0.9088717948717949,0.13905774771371437
0.16619906425476075,0.025603161961231594,0.011606073379516602,0.0018785476079385566,0.85,0.5,0.1,80,5,5,0.05,0.0,0.75,"{'subsample': 0.85, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 80, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.369413423538208,0.27535768139011013,0.015224170684814454,0.005327126436012988,0.9,1.0,0.0,80,3,3,0.05,0.5,0.9,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 80, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6111111111111112,0.6190476190476191,0.6306471306471307,0.012956428224549272,38,0.9033333333333333,0.9561602418745275,0.8375350140056023,0.9561602418745275,0.6410256410256411,0.8588428944227264,0.11731931898019879
0.2514943599700928,0.06361055783911398,0.021402692794799803,0.015744998195405292,0.75,5.0,0.1,100,5,4,0.15,0.0,0.75,"{'subsample': 0.75, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.37987289428710935,0.049011607098930446,0.041513586044311525,0.04336589499415944,0.85,3.0,0.1,80,5,4,0.15,0.1,0.75,"{'subsample': 0.85, 'reg_lambda': 3, 'reg_alpha': 0.1, 'n_estimators': 80, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.3473677635192871,0.13449748325196126,0.011628961563110352,0.000343913609648991,0.9,5.0,0.0,150,5,3,0.15,0.1,0.75,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
0.25427703857421874,0.10433743467432591,0.012848758697509765,0.001061397555516749,0.75,0.5,0.1,100,8,4,0.05,0.5,0.75,"{'subsample': 0.75, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.75}",0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6190476190476191,0.6366300366300367,0.008791208791208803,8,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6352201257861635,0.6410256410256411,0.636381228834059,0.002322206095791035
