id,title,source,job_url,url_status,url_message
labor_timviec365_2056120,Tuyển bảo vệ ca 24h,TimViec365,https://timviec365.vn/tuyen-bao-ve-ca-24h-p2056120.html,working,OK (200)
labor_timviec365_2055977,"TUYỂN DỤNG NHÂN VIÊN BẢO VỆ – THU NHẬP HẤP DẪN, PHÚC LỢI TỐT",TimViec365,https://timviec365.vn/tuyen-dung-nhan-vien-bao-ve-thu-nhap-hap-dan-phuc-loi-tot-p2055977.html,working,OK (200)
labor_timviec365_2055443,nhân viên bảo vệ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2055443.html,working,OK (200)
labor_timviec365_2055347,Security (Bảo vệ),TimViec365,https://timviec365.vn/security-bao-ve-p2055347.html,working,OK (200)
labor_timviec365_2055392,Tuyển Nhân Viên Bảo Vệ Nhà Máy,TimViec365,https://timviec365.vn/tuyen-nhan-vien-bao-ve-nha-may-p2055392.html,working,OK (200)
labor_timviec365_2055141,Bảo vệ công ty cổ phần cao su Drc đà nẵng,TimViec365,https://timviec365.vn/bao-ve-cong-ty-co-phan-cao-su-drc-dja-nang-p2055141.html,working,OK (200)
labor_timviec365_2053986,Tuyển nhân viên bảo vệ,TimViec365,https://timviec365.vn/tuyen-nhan-vien-bao-ve-p2053986.html,working,OK (200)
labor_timviec365_2053969,NHÂN VIÊN BẢO VỆ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2053969.html,working,OK (200)
labor_timviec365_2053000,nhân viên bảo vệ nhà máy,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-nha-may-p2053000.html,working,OK (200)
labor_timviec365_2051091,Tuyển Nhân Viên Bảo Vệ Ngân Hàng Vietcombank Tại Tp.Hồ Chí Minh,TimViec365,https://timviec365.vn/tuyen-nhan-vien-bao-ve-ngan-hang-vietcombank-tai-tpho-chi-minh-p2051091.html,working,OK (200)
labor_timviec365_2052172,NHÂN VIÊN TRỰC SHOWROOM XE HƠI,TimViec365,https://timviec365.vn/nhan-vien-truc-showroom-xe-hoi-p2052172.html,working,OK (200)
